id,behavior
26,MB_NON_ANIMATED_DOOR
40,MB_SOUTH_ARROW_WARP
41,MB_NORTH_ARROW_WARP
5,MB_REFLECTION_UNDER_BRIDGE
6,MB_REFLECTION_UNDER_BRIDGE
7,MB_REFLECTION_UNDER_BRIDGE
13,MB_REFLECTION_UNDER_BRIDGE
14,MB_REFLECTION_UNDER_BRIDGE
15,MB_REFLECTION_UNDER_BRIDGE
21,MB_REFLECTION_UNDER_BRIDGE
22,MB_REFLECTION_UNDER_BRIDGE
23,MB_REFLECTION_UNDER_BRIDGE
29,MB_REFLECTION_UNDER_BRIDGE
30,MB_REFLECTION_UNDER_BRIDGE
31,MB_REFLECTION_UNDER_BRIDGE
38,MB_REFLECTION_UNDER_BRIDGE
39,MB_REFLECTION_UNDER_BRIDGE
86,MB_REFLECTION_UNDER_BRIDGE
87,MB_REFLECTION_UNDER_BRIDGE
94,MB_REFLECTION_UNDER_BRIDGE
95,MB_REFLECTION_UNDER_BRIDGE
102,MB_REFLECTION_UNDER_BRIDGE
103,MB_REFLECTION_UNDER_BRIDGE
62,MB_POND_WATER
63,MB_POND_WATER
70,MB_POND_WATER
71,MB_POND_WATER
78,MB_POND_WATER
79,MB_POND_WATER
54,MB_NORTH_ARROW_WARP
55,MB_SOUTH_ARROW_WARP
161,MB_NON_ANIMATED_DOOR
