id,behavior
39,MB_TALL_GRASS
46,MB_TALL_GRASS
47,MB_TALL_GRASS
75,MB_JUMP_SOUTH
76,MB_JUMP_SOUTH
77,MB_JUMP_SOUTH
101,MB_JUMP_SOUTH
102,MB_JUMP_SOUTH
103,MB_JUMP_SOUTH
70,MB_JUMP_WEST
78,MB_JUMP_WEST
86,MB_JUMP_WEST
71,MB_JUMP_EAST
79,MB_JUMP_EAST
87,MB_JUMP_EAST
110,MB_JUMP_WEST
118,MB_JUMP_WEST
126,MB_JUMP_WEST
111,MB_JUMP_EAST
119,MB_JUMP_EAST
127,MB_JUMP_EAST
240,MB_POND_WATER
241,MB_POND_WATER
242,MB_POND_WATER
243,MB_POND_WATER
244,MB_POND_WATER
248,MB_POND_WATER
249,MB_POND_WATER
250,MB_POND_WATER
251,MB_POND_WATER
252,MB_POND_WATER
254,MB_SOUTH_ARROW_WARP
255,MB_NORTH_ARROW_WARP
256,MB_POND_WATER
257,MB_POND_WATER
258,MB_POND_WATER
104,MB_SIDEWAYS_STAIRS_LEFT_SIDE_TOP
112,MB_SIDEWAYS_STAIRS_LEFT_SIDE
120,MB_SIDEWAYS_STAIRS_LEFT_SIDE_BOTTOM
105,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_TOP
113,MB_SIDEWAYS_STAIRS_RIGHT_SIDE
121,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_BOTTOM
117,MB_NON_ANIMATED_DOOR
130,MB_MUDDY_SLOPE
115,MB_BERRY_TREE_SOIL
161,MB_ANIMATED_DOOR
193,MB_ANIMATED_DOOR
25,MB_MOUNTAIN_TOP
28,MB_MOUNTAIN_TOP
49,MB_MOUNTAIN_TOP
48,MB_OCEAN_WATER
50,MB_OCEAN_WATER
216,MB_OCEAN_WATER
217,MB_OCEAN_WATER
218,MB_OCEAN_WATER
224,MB_OCEAN_WATER
225,MB_OCEAN_WATER
226,MB_OCEAN_WATER
232,MB_OCEAN_WATER
233,MB_OCEAN_WATER
234,MB_OCEAN_WATER
222,MB_MOUNTAIN_TOP
223,MB_MOUNTAIN_TOP
230,MB_MOUNTAIN_TOP
231,MB_MOUNTAIN_TOP
238,MB_MOUNTAIN_TOP
239,MB_MOUNTAIN_TOP
51,MB_IMPASSABLE_NORTH
54,MB_IMPASSABLE_NORTH
55,MB_IMPASSABLE_NORTH
85,MB_IMPASSABLE_NORTH
