id,behavior
4,MB_MOUNTAIN_TOP
20,MB_MOUNTAIN_TOP
0,MB_SAND
80,MB_SAND
81,MB_SAND
82,MB_SAND
83,MB_SAND
84,MB_SAND
85,MB_SAND
86,MB_SAND
87,MB_SAND
90,MB_SAND
91,MB_SAND
92,MB_SAND
93,MB_SAND
94,MB_SAND
95,MB_SAND
96,MB_SAND
97,MB_SAND
98,MB_SAND
99,MB_SAND
100,MB_SAND
101,MB_SAND
102,MB_SAND
103,MB_SAND
42,MB_NON_ANIMATED_DOOR
76,MB_ANIMATED_DOOR
57,MB_SOUTH_ARROW_WARP
14,MB_OCEAN_WATER
15,MB_OCEAN_WATER
22,MB_OCEAN_WATER
23,MB_OCEAN_WATER
29,MB_OCEAN_WATER
30,MB_OCEAN_WATER
31,MB_OCEAN_WATER
37,MB_OCEAN_WATER
38,MB_OCEAN_WATER
39,MB_OCEAN_WATER
45,MB_OCEAN_WATER
46,MB_OCEAN_WATER
47,MB_OCEAN_WATER
